X_DIN_UTIL;X_LIB_DIN_UTIL;X_TYPE_DIN_UTIL;X_ABR_T_UTI;D_DEB_VAL;D_FIN_VAL;X_USER_CRE;D_MODIF;X_USER_MOD
9.3.H;PETIT MONTE-CHARGE YC LOCAL TECHNIQUE;9-3;GAINES POUR INSTALLATIONS DE TRANSPORT;10.08.2004 09:46:32;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
7.4.B;PARKING 2 ROUES;7-4;STATIONNEMENT DE VEHICULES;20.10.2003 14:08:43;;FAZAN;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.1.E;WC DAMES;7-1;LOCAUX SANITAIRES;30.09.2002;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.1.D;WC HOMMES;7-1;LOCAUX SANITAIRES;30.09.2002;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
7.1.O;VESTIAIRES-WC;7-1;LOCAUX SANITAIRES;30.09.2002;;PPICHON;29.03.2007 15:56:03;CADI_LOC_INTERF_AFM;
3.3.A;LABO DE TECHNOLOGIE;3-3;LABORATOIRES DE TECHNOLOGIE;04.10.2002 10:43:14;;FAZAN;16.01.2014 22:42:03;CADI_LOC_INTERF_AFM;
1.0.0;HABITAT ET SEJOUR;1-0;HABITAT ET SEJOUR;13.09.2005 15:56:50;;PPICHON;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.2.Z;ABRI-ATELIER;3-2;ATELIERS;19.08.2004 10:24:54;;EBELING;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
2.8.T;TELECOMS;2-8;LOCAUX DE BUREAUTIQUE;18.02.2003 11:28:25;;FAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
3.4.G;TECHNIQUE SALLE PROPRE;3-4;LABO DE PHYSIQUE, ELECTROTECHNIQUE;21.10.2004;;RFAZAN;29.03.2007 15:56:02;CADI_LOC_INTERF_AFM;
