RM_TYPE;RM_SS_TYPE;DESCRIPTION;LIBELLE;X_LIBELLE_EN
------- ;---------- ;----------- ;------- ;------------
1.0;1.0.0;HABITAT ET SEJOUR;HABITAT-SEJOUR;HOUSING / LIVING
1.0;1.0.A;CAVE;CAVE;CELLAR
1.1;1.1.0;HABITAT;HABITAT;HABITAT
1.2;1.2.0;LOCAUX COMMUNAUTAIRES;COMMUNAUTAIRES;COMMON PREMISES
1.3;1.3.0;LOCAUX DE DETENTE;DETENTE;LOUNGE
1.3;1.3.A;CAFETERIA;CAFETERIA;CAFETERIA
1.3;1.3.B;CAFETERIA INTERNE;CAF.INTERNE;INT.CAFET.
1.4;1.4.0;LOCAUX D'ATTENTE;ATTENTE;WAITING
1.4;1.4.A;ATTENTE;ATTENTE;WAITING
1.4;1.4.B;REUNION-ATTENTE;REUNION-ATTENTE;MEETING-WAITING
1.5;1.5.0;LOCAUX DE RESTAURATION;RESTAURANT;RESTAURANT
1.5;1.5.A;RESTAURANT AVEC SERVICE A TABLE;RESTAURANT;RESTAURANT
1.5;1.5.B;RESTAURANT SELF-SERVICE;RESTAURANT;RESTAURANT
1.5;1.5.C;CAFETERIA AVEC SERVICE DE METS;RESTAURANT;RESTAURANT
1.5;1.5.D;CAFETERIA BAR;RESTAURANT;RESTAURANT
1.6;1.6.0;LOCAUX DE DETENTION;DETENTION;LOCKUP
2.0;2.0.0;TRAVAIL DE BUREAU;BUREAUX;OFFICES
2.1;2.1.0;BUREAUX;BUREAU;OFFICE
2.1;2.1.A;BUREAU;BUREAU;OFFICE
2.1;2.1.B;SECRETARIAT-RECEPTION-ACCUEIL;RECEPTION;RECEPTION
2.2;2.2.0;BUREAUX PAYSAGERS;BUREAU;OFFICE
2.2;2.2.A;BUREAU PAYSAGER;BUREAU;OFFICE
2.2;2.2.B;SECRETARIAT-RECEPTION-ACCUEIL;SECRETARIAT;SECRETARIAT
2.3;2.3.0;LOCAUX DE CONFERENCES;CONFERENCES;CONFERENCE ROOM
2.3;2.3.A;CONFERENCES;CONFERENCES;CONFERENCE ROOM
2.3;2.3.B;CONFERENCES-BIBLIOTHEQUE;CONFERENCES;CONFERENCE ROOM
2.3;2.3.E;CONFERENCES MULTIMEDIA;CONFERENCES;CONFERENCE ROOM
2.4;2.4.0;LOCAUX DE DESSIN;DESSIN;DRAWING
2.4;2.4.A;DESSIN;DESSIN;DRAWING
2.5;2.5.0;GUICHETS;GUICHETS;COUNTER
2.5;2.5.A;RECEPTION-ACCUEIL;ACCUEIL;DESK
2.5;2.5.B;HELP DESK;HELP DESK;HELP DESK
2.6;2.6.0;LOCAUX DE CONTROLE;CONTROLE;CONTROL
2.6;2.6.A;LOCAL DE COMMANDE ET CONTROLE;CONTROLE;CONTROL
2.7;2.7.0;LOCAUX DE SURVEILLANCE;SURVEILLANCE;SURVEILLANCE
2.7;2.7.A;LOGE CONCIERGE;SURVEILLANCE;SURVEILLANCE
2.8;2.8.0;LOCAUX DE BUREAUTIQUE;BUREAUTIQUE;OFFICE
2.8;2.8.A;BUREAUTIQUE-REPROGRAPHIE;REPROGRAPHIE;REPROGRAHICS
2.8;2.8.B;SERVEURS-INFORMATIQUE;SERVEURS;SERVER ROOM
2.8;2.8.D;PHOTO-CHAMBRE NOIRE;PHOTOS;PHOTOGRAPHS
2.8;2.8.T;TELECOMS;TELECOMS;TELECOM
2.9;2.9.0;BUREAUX;BUREAUX;OFFICES
3.0;3.0.0;PROD.,TRAV.D'ART.ET À LA MACHINE,RECH;ART;ART
3.1;3.1.0;HALLES DE FABRICATION;FABRICATION;MANUFACTURING
3.1;3.1.A;HALLE D'ESSAIS;ESSAIS;TESTING
3.2;3.2.0;ATELIERS;ATELIERS;WORKSHOP
3.2;3.2.A;ATELIER DE MECANIQUE;ATELIERS;WORKSHOP
3.2;3.2.B;ATELIER D'ELECTRONIQUE;ATELIERS;WORKSHOP
3.2;3.2.C;ATELIER DE BOIS;ATELIERS;WORKSHOP
3.2;3.2.D;ATELIER DE MECANIQUE;ATELIERS;WORKSHOP
3.2;3.2.E;ATELIERS D'ELECTRONIQUE;ATELIERS;WORKSHOP
3.2;3.2.V;ATELIER DE VELOS;ATELIERS;WORKSHOP
3.2;3.2.Z;ABRI-ATELIER;ATELIERS;WORKSHOP
3.3;3.3.0;LABO. DE TECHNOLOGIE;LABO;LAB
3.3;3.3.A;LABO DE TECHNOLOGIE;LABO;LAB
3.3;3.3.B;LABO INFORMATISE;LABO;LAB
3.3;3.3.R;LABO. DE RECHERCHE;LABO;LAB
3.3;3.3.V;SALLE GRISE;SALLE GRISE;CLEAN ROOM
3.3;3.3.W1;SALLE BLANCHE;SALLE BLANCHE;CLEAN ROOM
3.3;3.3.W2;SALLE BLANCHE;SALLE BLANCHE;CLEAN ROOM
3.3;3.3.W3;SALLE BLANCHE;SALLE BLANCHE;CLEAN ROOM
3.3;3.3.W4;SALLE BLANCHE;SALLE BLANCHE;CLEAN ROOM
3.3;3.3.Z;ABRI-LABO;ABRI-LABO;LAB
3.4;3.4.0;LABO DE PHYSIQUE, ELECTROTECHNIQUE;LABO;LAB
3.4;3.4.A;LABO DE MESURES EN PHYSIQUE FIGE;LABO;LAB
3.4;3.4.B;LABO DE MESURES EN PHYSIQUE POLYV.;LABO;LAB
3.4;3.4.C;LABO DE PHYSIQUE SECURISE;LABO;LAB
3.4;3.4.D;LOCAL DE PREPARATION EN PHYSIQUE;LABO;LAB
3.4;3.4.E;LABO DE MICROTECHNIQUE;LABO;LAB
3.4;3.4.G;TECHNIQUE SALLE PROPRE;LABO;LAB
3.4;3.4.I;LABO INFORMATIQUE;LABO INFORM;COMPUTER LAB
3.4;3.4.R;LABO DE RECHERCHE;LABO;LABO
3.4;3.4.V;SALLE GRISE;SALLE GRISE;CLEAN ROOM
3.4;3.4.W1;SALLE BLANCHE;SALLE BLANCHE;CLEAN ROOM
3.4;3.4.W2;SALLE BLANCHE;SALLE BLANCHE;CLEAN ROOM
3.4;3.4.W3;SALLE BLANCHE;SALLE BLANCHE;CLEAN ROOM
3.4;3.4.W4;SALLE BLANCHE;SALLE BLANCHE;CLEAN ROOM
3.5;3.5.0;LABO CHIMIE, BACTERIOLOGIE, MORPHOLOGIE;LABO;LAB
3.5;3.5.A;LABO DE MESURES EN CHIMIE FIGE;LABO;LAB
3.5;3.5.B;LABO DE MESURES EN CHIMIE POLYVAL.;LABO;LAB
3.5;3.5.C;LABO DE CHIMIE SECURISE;LABO;LAB
3.5;3.5.D;LABO DE SYNTHESES;LABO;LAB
3.5;3.5.E;LABO DE "NUIT";LABO;LAB
3.5;3.5.F;LABO ANALYTIQUE DE CHIMIE;LABO;LAB
3.5;3.5.G4;LABO DE BIOCHIMIE RADIOACTIVE;LABO;LAB
